"site","unit","plot","treatment","timestep","l_tph","l_ba","l_qmd","d_tph","d_ba","p_ba","p_seed","np_seed","p_sap","np_sap","midstory_shrubs","graminoids","forb","shrub","tree","vine","non_native","richness","diversity","evenness","ground","fine","cwd","ptorch","pmort"
"California","180","0180-00008","Mech+Fire","post",24.69,14.63,86.87,49.38,14.39,0,988.42,6671.85,0,0,NA,0,0,80,0,NA,NA,1,0,0,62.17,4.04,0,0,4
"California","180","0180-00010","Mech+Fire","pre",345.68,36.74,36.79,0,0,83.03,1976.84,1482.63,0,740.74,NA,0,5,0,0,NA,NA,1,0,0,90.68,13.86,7.56,83,20
"California","180","0180-00010","Mech+Fire","post",24.69,10.81,74.68,24.69,1.08,100,0,0,0,0,NA,0,5,5,0,NA,NA,2,0.69,0.3,7.89,2.3,0,0,3
"California","180","0180-00013","Mech+Fire","pre",345.68,34.32,35.55,49.38,2.08,16.82,21745.28,6918.95,0,0,NA,0,0,0,0,NA,NA,0,0,0,65.07,11.56,5.51,0,17
"California","180","0180-00013","Mech+Fire","post",24.69,24.89,113.28,0,0,0,0,1482.63,0,0,NA,2,4,5,0,NA,NA,6,1.54,0.64,12.07,1.06,10.65,0,1
"California","180","0180-00018","Mech+Fire","pre",395.06,22.38,26.86,0,0,71.89,5683.42,2223.95,0,1234.57,NA,4,4,12,0,NA,NA,5,1.61,0.54,62.87,7.16,3.36,12,100
"California","180","0180-00018","Mech+Fire","post",49.38,21.12,73.8,24.69,1.08,95.13,494.21,741.32,0,0,NA,0,0,20,0,NA,NA,1,0,0,5.44,0.81,0,0,3
"California","180","0180-00101","Mech+Fire","pre",790.12,76.53,35.12,74.07,4.75,66.15,2471.05,247.11,3703.7,2716.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.45,11.71,28.66,100,100
"California","180","0180-00101","Mech+Fire","post",0,0,NA,24.69,17.31,100,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.41,13.18,1.4,0,0
"California","180","0180-00102","Mech+Fire","pre",592.59,73.83,39.83,24.69,1.15,82.31,5436.32,988.42,0,2000,NA,12,12,32,4,NA,NA,14,2.62,0.64,26.04,9.2,60.27,100,100
"California","180","0180-00102","Mech+Fire","post",24.69,26.82,117.6,148.15,34.49,92.8,0,494.21,0,0,NA,0,0,5,0,NA,NA,1,0,0,7.99,6.92,14.78,0,1
"California","180","0180-00107","Mech+Fire","pre",419.75,68.06,45.44,24.69,1.46,61.15,6918.95,2718.16,0,0,NA,8,8,14,0,NA,NA,7,1.93,0.57,112.06,8.76,17.46,47,12
"California","180","0180-00107","Mech+Fire","post",123.46,48.99,71.08,24.69,6.97,80.93,0,0,0,0,NA,0,0,10,0,NA,NA,1,0,0,10.81,1.65,0,0,4
"California","180","0180-00108","Mech+Fire","pre",765.43,60.22,31.65,24.69,1.51,57.05,1235.53,9637.11,0,246.91,NA,0,12,42,4,NA,NA,9,1.84,0.45,102.31,5.16,21.36,69,100
"California","180","0180-00108","Mech+Fire","post",123.46,50.28,72.01,24.69,5.89,85.08,0,0,0,0,NA,0,0,2,0,NA,NA,1,0,0,4.63,4.59,6.28,0,3
"California","180","0180-00109","Mech+Fire","pre",641.98,61.33,34.88,0,0,38.36,5189.21,5683.42,0,0,NA,8,16,14,4,NA,NA,10,2.29,0.61,73.59,3.91,11.8,1,100
"California","180","0180-00109","Mech+Fire","post",148.15,46.5,63.22,24.69,2.74,57.86,0,7660.27,0,0,NA,0,0,15,0,NA,NA,2,0.64,0.24,10.87,1.53,0,0,5
"California","180","0180-00110","Mech+Fire","pre",197.53,17.31,33.4,0,0,2.52,0,5189.21,0,0,NA,0,12,50,4,NA,NA,8,1.81,0.43,66.54,7.3,59.14,65,98
"California","180","0180-00110","Mech+Fire","post",24.69,5.68,54.1,49.38,4.95,0,1976.84,1729.74,0,0,NA,0,0,95,0,NA,NA,2,0.34,0.07,30.65,12.08,28.41,7,54
